iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_average,param_fit_intercept,param_learning_rate,param_loss,param_max_iter,param_penalty,param_shuffle,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,27,0.0051408052444458004,0.00028279648582289285,0.0006280660629272461,3.81879363059621e-05,1e-10,True,True,optimal,huber,1000,l1,True,"{'alpha': 1e-10, 'average': True, 'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'huber', 'max_iter': 1000, 'penalty': 'l1', 'shuffle': True}",-815.5065448571016,-340.1128945547864,-1646.7168505759012,-3.9084560626608447,-2.6977675915266204,-3.7439788497570845,-69.8605371511008,-2.3244223664093697,-3.388122123658057,-19.659809266273278,-290.7919383399175,514.9878672455926,1048,-0.9312429325341292,-0.6813535092870138,-0.5190202471311374,-0.8060422887248166,-0.4648786092820121,-0.1775218357349584,-0.9993971950421867,-0.5417073420911005,-0.6006874325048033,-0.8754397344252174,-0.6597291126757375,0.2377404073106066
0,27,0.005000877380371094,0.0002632742878637996,0.0006149053573608398,3.9406985113887005e-05,1e-10,True,True,optimal,huber,1000,l1,False,"{'alpha': 1e-10, 'average': True, 'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'huber', 'max_iter': 1000, 'penalty': 'l1', 'shuffle': False}",-815.4748897538663,-340.09860338215515,-1646.2414438602743,-3.908602307921284,-2.697831348597519,-3.7445104757167096,-69.83931979624228,-2.3242627255071278,-3.388631674855141,-19.661957535367346,-290.73800528605034,514.8600737246848,1045,-0.9313427016462641,-0.6813117308324517,-0.5190540670396739,-0.8060302437697631,-0.46492922096234035,-0.17740994703656132,-0.999370226170688,-0.5418055104493655,-0.600754467317399,-0.8754468960128885,-0.6597455011237396,0.23775749115302927
0,27,0.0038852930068969727,0.0002479598487385826,0.0005959510803222656,3.2646495064698145e-05,1e-10,True,True,optimal,huber,1000,l2,True,"{'alpha': 1e-10, 'average': True, 'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'huber', 'max_iter': 1000, 'penalty': 'l2', 'shuffle': True}",-815.5290419181617,-340.21641745279504,-1646.2822976670552,-3.908161367548465,-2.6979039920488943,-3.7444857933984146,-69.8754931216022,-2.324443257142048,-3.3888677744957727,-19.66937036621626,-290.7636482710464,514.8755355117702,1047,-0.9312661058598035,-0.6814546878304539,-0.5190526409540499,-0.8062229516597597,-0.46488580657233114,-0.1774900954538361,-0.9994049268356546,-0.5417983052992825,-0.600769329081557,-0.8754696349427324,-0.6597814484489462,0.23775629817039104
0,27,0.0037708520889282227,0.00021961303211175473,0.0005917549133300781,3.117052808696457e-05,1e-10,True,True,optimal,huber,1000,l2,False,"{'alpha': 1e-10, 'average': True, 'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'huber', 'max_iter': 1000, 'penalty': 'l2', 'shuffle': False}",-815.4821606203215,-340.14944825782493,-1646.3553182897144,-3.9085774511371714,-2.697973347254215,-3.7445146780217096,-69.8495577316823,-2.3243175086599694,-3.3887184518309628,-19.663300188623616,-290.75638865250704,514.8907582643852,1046,-0.9313849770807499,-0.6813457224367074,-0.5190818062462381,-0.8061290241479901,-0.4649930164777618,-0.1774356985150134,-0.9993745474129978,-0.5418272014810601,-0.6008247819899959,-0.8754787073057473,-0.6597875483094262,0.2377572975712671
0,27,0.027913236618041994,0.005035611140788008,0.0011283159255981445,0.0009032100702168965,1e-10,True,True,optimal,huber,5000,l1,True,"{'alpha': 1e-10, 'average': True, 'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'huber', 'max_iter': 5000, 'penalty': 'l1', 'shuffle': True}",-744.1289011558855,-616.0431527365499,-581.5300825409057,-1.6805878129025031,-2.2892112406331138,-3.096164089094871,0.427014224565317,-1.6424897537639658,-1.734383372454567,-3.535684112134624,-195.525364258976,298.18594603706,1023,-0.2573059395207298,-0.11056694486137242,-0.12776802810649346,0.19899185698623645,0.055793335395870614,0.06382745516172639,-0.5069896702534824,0.03938298402326401,-0.021427434039684057,-0.4199074101091873,-0.1085969795323852,0.2142378439495606
0,27,0.02671096324920654,0.004621843431465262,0.000728154182434082,6.035263413504085e-05,1e-10,True,True,optimal,huber,5000,l1,False,"{'alpha': 1e-10, 'average': True, 'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'huber', 'max_iter': 5000, 'penalty': 'l1', 'shuffle': False}",-744.1327156325891,-616.1456692032546,-581.546802930821,-1.6810366238854137,-2.2748942024973475,-3.096255590124122,0.42583736823364493,-1.642506082259111,-1.7344381604381294,-3.5332222128489885,-195.5361703270484,298.204240079699,1024,-0.25736779957185596,-0.11055964675608365,-0.12778197449010875,0.19904241320457072,0.07236336014396005,0.06384725379308309,-0.5069796012663164,0.039260897807014805,-0.021414657829712747,-0.4200337160733312,-0.106962347103878,0.21558475598701743
0,27,0.017847180366516113,0.001266019331872515,0.0006433010101318359,7.128315215848507e-05,1e-10,True,True,optimal,huber,5000,l2,True,"{'alpha': 1e-10, 'average': True, 'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'huber', 'max_iter': 5000, 'penalty': 'l2', 'shuffle': True}",-744.092243961672,-614.3809034450376,-581.5730335906829,-1.6806042288629053,-2.2754084804966372,-3.096587658112396,0.4239447314445768,-1.6426161726622595,-1.7349403924501043,-3.5322598192362458,-195.35846530177685,297.9515080269178,1021,-0.2578675757851836,-0.1109457376882308,-0.12810409957691382,0.19835092168076807,0.07202835236570027,0.06360114378208281,-0.5073582692786989,0.038990074266905594,-0.021850304138869125,-0.4202789819460382,-0.10734344763184778,0.21554812017410505
0,27,0.017832374572753905,0.001923861886116237,0.0006597518920898437,7.606022022079332e-05,1e-10,True,True,optimal,huber,5000,l2,False,"{'alpha': 1e-10, 'average': True, 'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'huber', 'max_iter': 5000, 'penalty': 'l2', 'shuffle': False}",-744.0572589757902,-614.5763658334492,-582.1246617888212,-1.6807103244632056,-2.2753205559409992,-3.0966693467155,0.4235658703519761,-1.642525802372564,-1.7356455732709115,-3.537517102622483,-195.43031094330942,298.04368247089457,1022,-0.25786247868595913,-0.11096249014836923,-0.12810706412740624,0.19839913369545248,0.07199516805468475,0.06360447954260873,-0.5073142091237766,0.03881687549545165,-0.02190619756966461,-0.4203220365604756,-0.10736588194274539,0.215536268123148
0,27,0.0666538953781128,0.016930902235208486,0.0007895231246948242,4.5342080310070416e-05,1e-10,True,True,optimal,huber,15000,l1,True,"{'alpha': 1e-10, 'average': True, 'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'huber', 'max_iter': 15000, 'penalty': 'l1', 'shuffle': True}",-810.8418165436229,-3004.1406139805836,-28.134786363103203,-0.13407297245143224,-2.2927245152708284,-2.5038067455575184,-101.10096050308785,-1.4381899225314099,-0.5184023121845718,-0.7418574403498284,-395.1847231298743,901.7562324476913,1077,0.2637043980281113,0.21544225041053444,0.2362451416030511,0.6985720737454495,0.051268194997132865,0.2361201542855499,0.025211244478698047,0.5402375858113742,0.3345434992639844,-0.2540431788155719,0.2347301363808314,0.25221388013902507
0,27,0.07266833782196044,0.015727579361673235,0.0009787797927856446,0.0005383806271174658,1e-10,True,True,optimal,huber,15000,l1,False,"{'alpha': 1e-10, 'average': True, 'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'huber', 'max_iter': 15000, 'penalty': 'l1', 'shuffle': False}",-810.812679691355,-4384.245375062859,-28.16907071719444,-0.13406252082889303,-2.1095010953891484,-2.419410673633025,-101.09911417928203,-1.4381900464406874,-0.4866171755174433,-0.6564445411728144,-533.1570465703674,1305.6602901324236,2008,0.26367935357248684,0.29886376106931056,0.2362237467213255,0.6985785266892834,0.22019205016200183,0.25528181182097254,0.025199732674990427,0.5401872920622485,0.34274062389021054,-0.2500577290304149,0.26308891696324155,0.24425250580178176
