iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__base_estimator,param_model__learning_rate,param_model__loss,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,28,0.13219237327575684,0.03614889294730172,0.008230876922607423,0.008290863317525996,DecisionTreeRegressor(max_depth=3),0.1,square,100,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.1, 'model__loss': 'square', 'model__n_estimators': 100}",-6683461.590909091,-1303902.2083333335,-3081265.875,-3058727.0462184874,-8201040.5,-3373717.9166666665,-7025705.833333333,-4959365.805555556,-5730329.285714285,-2154807.785714286,-4557232.384744503,2181969.7542802054,285,-528137.5583406595,-491109.0422021116,-500501.18934054836,-772051.7756105855,-367022.97758152965,-483674.1780195361,-542793.87687013,-935773.2815498491,-403264.107335883,-537413.0265685426,-556174.1013419374,162408.29774346037
0,28,0.26946349143981935,0.059491973705771264,0.015741443634033202,0.010124638835403144,DecisionTreeRegressor(max_depth=3),0.1,square,200,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.1, 'model__loss': 'square', 'model__n_estimators': 200}",-6652438.2272727275,-1356970.8571428573,-3239595.833333333,-2995304.5,-9804246.5,-2992309.225,-7169154.785714285,-5003958.227941176,-5760261.852941176,-2280017.75,-4725425.775934556,2493176.4201771896,341,-407225.15946425794,-451378.09157389007,-451569.01123321126,-681118.9339204421,-366939.38315584423,-472953.5241260962,-553984.1427489178,-978680.9160719151,-410743.1711541183,-557069.240506216,-533166.1573954909,172287.83368204455
0,28,0.3299137830734253,0.12431421400418187,0.020545649528503417,0.018660857321570926,DecisionTreeRegressor(max_depth=3),0.1,square,400,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.1, 'model__loss': 'square', 'model__n_estimators': 400}",-6476495.928571428,-1277455.0625,-3096688.6875,-3011003.325,-9289494.0,-2887833.5,-6799750.538461538,-5200364.300000001,-5675120.944444444,-2576225.725,-4629043.201147742,2339032.2203219845,311,-373732.3850193337,-423880.12034776347,-432256.87968253973,-692811.9195209235,-406174.3149206349,-473540.6955757575,-478855.71869275166,-1084282.8029344252,-419366.76453357755,-652155.3568278388,-543705.6958055546,206250.14777054457
0,28,0.5308907508850098,0.09840611675258483,0.08434481620788574,0.057536762943519996,DecisionTreeRegressor(max_depth=3),0.1,square,600,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.1, 'model__loss': 'square', 'model__n_estimators': 600}",-6649280.05882353,-1261040.1875,-3219356.8125,-2962380.5357142854,-8591534.1,-2897018.625,-6739598.294117647,-5116861.460784314,-5742907.25,-2272602.1190476194,-4545257.944348739,2242916.452449116,282,-410959.2844809635,-468313.8506464646,-426145.12246919743,-694887.5859670329,-409700.27674323064,-474398.4664625375,-498844.43658485956,-1106418.4852245941,-411309.9738502675,-599760.8134920635,-550073.8295921211,205345.17886125093
0,28,0.00773768424987793,0.0019251596473372397,0.004805827140808105,0.0042259967106978965,DecisionTreeRegressor(max_depth=3),0.2,linear,10,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.2, 'model__loss': 'linear', 'model__n_estimators': 10}",-6497756.461538462,-1108139.4777777777,-3078264.0,-3261785.4321266967,-8183782.125,-2439201.2678571427,-2708610.0625,-5205368.714285715,-10064898.166666666,-2181328.9642857146,-4472913.467203817,2773283.478413262,261,-544983.0499467787,-560305.9507474747,-545452.1496363636,-707737.9260001438,-371103.1245555554,-340177.80384734564,-579889.0788535256,-980017.2717124182,-506105.7113650793,-584709.7811428572,-572048.1847807543,168861.25329947742
0,28,0.05970640182495117,0.024695678614169554,0.004520916938781738,0.003713699888595066,DecisionTreeRegressor(max_depth=3),0.2,linear,50,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.2, 'model__loss': 'linear', 'model__n_estimators': 50}",-10277249.75,-1282697.5214285715,-3219987.4285714286,-2814020.5023809522,-8606709.897727273,-3281023.25,-6951615.25,-5033085.766666667,-10005939.166666666,-2676403.2333333334,-5414873.17667749,3132492.9243668257,607,-574979.6974847375,-389886.8560894661,-493667.0148095238,-565731.5085374624,-298069.4995588301,-355877.01622587873,-429013.31898124097,-949270.4370364547,-374233.8972525383,-503803.9241452992,-493453.31701214315,174911.6877764074
0,28,0.10533688068389893,0.033558446886999625,0.007591891288757324,0.007103835104436725,DecisionTreeRegressor(max_depth=3),0.2,linear,100,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.2, 'model__loss': 'linear', 'model__n_estimators': 100}",-6518258.40625,-1227102.6666666665,-3135900.15,-2942680.6333333333,-9444135.5,-2964773.7708333335,-7086005.866666667,-5184566.091269841,-9628052.777777778,-2675803.513888889,-5080727.93766865,2815685.6569592855,517,-516291.012995005,-415879.14633333334,-459890.1098013097,-604284.0386399712,-361528.63485485106,-438268.026990232,-513038.8498956045,-1000895.8961777106,-399508.2511309305,-537176.275174603,-524676.0241993552,172993.97397819624
0,28,0.1932542324066162,0.06804085738343445,0.017307400703430176,0.0268096355472152,DecisionTreeRegressor(max_depth=3),0.2,linear,200,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.2, 'model__loss': 'linear', 'model__n_estimators': 200}",-6534623.2,-1283560.3125,-3084162.333333333,-3027958.4755244753,-9670112.65,-2979950.388888889,-6936141.4375,-4790165.723529412,-10257271.585714286,-2335923.95,-5089987.00569904,2967571.9006436924,522,-420735.33409468964,-502894.16471794876,-413744.73819175275,-689005.6131398602,-394018.46300000005,-442501.82054700854,-449615.1510995671,-925233.7969915968,-409352.770015651,-590548.4434285713,-523765.02952266467,160662.09011320036
0,28,0.3384737253189087,0.12720355403075623,0.013831806182861329,0.01142852758254851,DecisionTreeRegressor(max_depth=3),0.2,linear,400,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.2, 'model__loss': 'linear', 'model__n_estimators': 400}",-6638675.5,-1275266.4393939395,-3220459.5357142854,-3234525.3055555555,-9678538.5,-2604822.0,-6891577.666666667,-5051859.5,-9879280.492481202,-2312413.7451923075,-5078741.868500395,2915774.5705007343,515,-404710.7098412698,-451432.15445116005,-527054.2051218781,-669022.6307987013,-394097.6287129537,-419775.28485581087,-483909.497003663,-940552.9494267693,-388529.4530942401,-579031.7176825397,-525811.6230988986,162710.13589629676
0,28,0.5959232091903687,0.09538171644160359,0.021833062171936035,0.016241440123216003,DecisionTreeRegressor(max_depth=3),0.2,linear,600,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.2, 'model__loss': 'linear', 'model__n_estimators': 600}",-6763942.583333333,-1253149.285714286,-3134736.7142857146,-2966084.8680555555,-9430191.416666666,-2653049.4375,-6937684.166666667,-5011458.408730159,-10077408.375,-2447761.625,-5067546.688095238,2930943.478405036,505,-402187.33211910306,-460570.3584926184,-478257.02808735706,-658356.9113224554,-366995.46446608944,-456061.96903840604,-453515.54474048177,-976542.7891498469,-379293.19892640697,-604522.5384604284,-523630.3134803193,174773.410462597
