iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__bootstrap,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,20,0.0904569149017334,0.049028436347087,0.004281473159790039,4.416459478325641e-05,True,10,auto,2,2,100,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}",-422252.06777976174,-2791818.1156785716,-7623664.485833334,-11902822.332154762,-2711125.936630953,-451602.57842856925,-4873898.442714286,-24367.9194246009,-2783182.3735476183,-1154357.1911666668,-3473909.144335913,3570403.4875612836,441,-3053490.009967787,-2770342.729484593,-1778407.8851610653,-1894079.9844411362,-1773767.0069629631,-1437531.3867301585,-1971915.132310847,-1220546.4807253096,-1659718.8347632284,-2161542.0697861556,-1972134.1520333246,536059.8987499593
0,20,0.20497939586639405,0.09630028114715397,0.01885840892791748,0.03694361364425774,True,10,auto,2,2,200,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",-204457.16350198444,-2590184.8925595228,-7351195.740328374,-11936745.819994047,-3344297.741577381,-520524.33557143016,-4865425.822047617,-225984.4756488111,-3047946.487341271,-1255037.5137500004,-3534179.999232044,3527270.400115925,542,-3114668.7447245577,-2681662.974306318,-1792296.1508940244,-1766942.305760251,-1704130.8138277112,-1462298.8943316801,-1899779.8825575395,-1407722.7228112868,-1535497.6332947526,-2181872.469002646,-1954687.2591510764,526347.1000190524
0,20,0.46593551635742186,0.11020889394382678,0.013898277282714843,0.005564821668094747,True,10,auto,2,2,400,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 400}",-267881.58848363056,-2757349.9274831344,-7532635.662683034,-11630341.299950397,-3338209.6913571423,-145305.42486904608,-4829346.157235119,-17069.512730157003,-2960773.43598512,-1348147.7194670814,-3482706.042024386,3513674.4171015224,455,-3172822.1728644385,-2991820.3341586734,-1825273.461386205,-1906337.066309027,-1788306.959016314,-1382057.381978616,-1876967.4242371577,-1288147.5997948088,-1572818.29407358,-2175469.7605087883,-1998002.0454327608,596681.9369235261
0,20,0.6895704507827759,0.11766876120377477,0.043224120140075685,0.05005457533785351,True,10,auto,2,2,600,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 600}",-203931.91547916748,-2310908.3472903427,-7507856.982262238,-11836400.260076059,-3222031.966488094,-207976.47863558028,-4891165.953208337,-94955.85320767015,-2555737.3425687808,-1227263.467942461,-3405822.856715873,3581188.546751528,324,-3127740.495949518,-2809768.0108189005,-1878270.8174002105,-1831601.0249005007,-1727786.544376544,-1426471.5133561522,-1895065.7091857004,-1364199.5917748013,-1527681.9303014013,-2100033.524327543,-1968861.916239127,548851.7817693335
0,20,0.012876462936401368,0.010015872731976735,0.002005195617675781,7.84540742985115e-05,True,10,auto,2,5,10,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 10}",-138861.4951587302,-3921420.3305952386,-7324901.431607143,-11674888.774285715,-3027742.3259523814,-346297.3126190477,-4519005.358333333,-214482.9783333335,-3134389.0533333328,-4111487.708452381,-3841347.676867063,3380499.8560149083,912,-3175709.883426704,-3387729.6490406157,-2246803.228907563,-2100543.5828968254,-2228590.8703571428,-1617086.6785714284,-1964225.416137566,-1550982.3734215167,-1750019.2830555555,-2983773.777572751,-2300546.474338767,625132.0319860872
0,20,0.037772965431213376,0.014663454195158762,0.021365952491760255,0.03659509264948271,True,10,auto,2,5,50,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50}",-346295.2058928573,-2942370.1522976183,-7445541.376119048,-12053499.340904761,-2962766.4902748917,-103072.99728571484,-4637589.438928571,-2183713.470595236,-2335362.404158729,-1161214.1573809523,-3617142.5033838376,3471742.816684953,635,-3142003.7799813263,-3182748.241623249,-1690576.4749817932,-1991573.1246997358,-1771263.6979769121,-1375045.5169272483,-1923264.9699515796,-1450739.217540564,-1703814.098932981,-2350163.7799744266,-2058119.2902589818,610402.0217997101
0,20,0.08475100994110107,0.047264172895284125,0.004312491416931153,3.3912551751520635e-05,True,10,auto,2,5,100,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100}",-194438.26767658757,-2856678.4499980155,-7452342.579867064,-11393453.265214285,-2795485.6146547617,-64905.183666667435,-4618289.986757936,-240292.82141270116,-2818752.2704841266,-1264847.941452381,-3369948.6381184524,3445744.726893638,283,-3040733.1063587773,-2859932.307531979,-1646732.8009969657,-1928882.0950855373,-1723311.2345291,-1459095.5359206349,-2190564.7011238984,-1446705.1362530864,-1699121.41826477,-2258186.9806027133,-2025326.531666746,530549.0525953628
0,20,0.24894542694091798,0.07977356906736609,0.018547630310058592,0.019523975602229914,True,10,auto,2,5,200,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",-458511.1661430864,-2442708.7582010287,-7271936.050756585,-11756135.651158731,-3347730.220756673,-96995.98655681871,-4878091.065029765,-434556.445833331,-2323635.695470239,-1170164.9728663417,-3418046.6012772606,3498632.57232421,343,-3317124.634000257,-3086631.993528191,-2009821.7585708767,-1925565.8150181887,-1871727.4792297573,-1443409.863878267,-2006459.4922367723,-1435792.6508321206,-1646624.3644516496,-2308165.081836711,-2105132.3133582794,606230.4353242627
0,20,0.44912707805633545,0.08944652859884675,0.025927186012268066,0.04457543608151311,True,10,auto,2,5,400,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 400}",-360307.8425491066,-2594676.1312288963,-7558357.619657647,-11677747.319156747,-3585818.0423164708,-134234.55716873985,-4672146.578629056,-541016.8436954338,-2612950.462097404,-1266153.6640981236,-3500340.906059762,3482316.352408409,486,-3300507.6340354066,-3052310.26151022,-1953688.2622434155,-1918027.2764346348,-1805707.493540234,-1444459.4017578915,-2055740.795554433,-1394807.207007221,-1722944.3811744032,-2311501.6773017086,-2095969.439055957,600414.3038790264
0,20,0.658315920829773,0.08647526408047582,0.09186341762542724,0.07049772428216106,True,10,auto,2,5,600,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 600}",-303885.8399457069,-2482654.1452850522,-7559783.053214374,-11678057.192482142,-3087356.2627647608,-250371.35104888398,-4684654.687475289,-171616.65365362354,-2531089.845568362,-1452647.0922071303,-3420211.612364533,3505585.2404702865,348,-3225426.331322348,-2949757.037073956,-1821222.9744758296,-1881164.678624192,-1750887.0239297436,-1492472.71543616,-2012231.3181049456,-1458595.647835624,-1610397.8836815618,-2380321.271222783,-2058247.6881707143,576646.0634697716
