iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__fit_intercept,param_model__precompute,param_model__selection,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,254,0.011417675018310546,0.012538123488661726,0.01074378490447998,0.017330989403287197,1e-05,False,True,cyclic,"{'model__alpha': 1e-05, 'model__fit_intercept': False, 'model__precompute': True, 'model__selection': 'cyclic'}",-5910488.791938778,-4665883.699786008,-3666331.389766964,-4710602.874662851,-6214259.496378387,-4451719.831235978,-3317975.711512821,-5311875.329430076,-2358055.4393007965,-5170571.435778206,-4577776.399979087,1128308.1754967216,55,-2922806.226494815,-3448388.2892794786,-2816347.013745101,-3555299.073859673,-3414071.412135853,-3462340.2339725206,-3648583.3696997543,-3283905.962417616,-3335010.7685041446,-3113321.5990605387,-3300007.39491695,257021.91666175774
0,254,0.007789134979248047,0.004468345863695872,0.007809114456176758,0.012277971619391457,1e-05,False,True,random,"{'model__alpha': 1e-05, 'model__fit_intercept': False, 'model__precompute': True, 'model__selection': 'random'}",-5910409.572064371,-4670179.027260013,-3668606.031734327,-4713131.917194769,-6211508.078867581,-4453482.157797262,-3314286.108139438,-5311860.284427756,-2362269.198806546,-5158166.7270313045,-4577389.910332336,1126698.7180284665,43,-2923036.7065690127,-3447359.853752023,-2816352.2041215776,-3554523.591607342,-3414220.9127181205,-3461676.392055227,-3648006.501403665,-3283737.336441654,-3334435.8052307945,-3112174.4487271234,-3299552.375262654,256814.06325279325
0,254,0.02574799060821533,0.019889012022936133,0.0032599687576293944,0.00398643400331212,1e-05,False,False,cyclic,"{'model__alpha': 1e-05, 'model__fit_intercept': False, 'model__precompute': False, 'model__selection': 'cyclic'}",-5910488.791939053,-4665883.699785736,-3666331.3897669897,-4710602.874662837,-6214259.496379025,-4451719.83123588,-3317975.711513132,-5311875.329430315,-2358055.4393007457,-5170571.435778188,-4577776.399979191,1128308.1754968332,56,-2922806.226494762,-3448388.289279508,-2816347.0137451,-3555299.0738596898,-3414071.4121357626,-3462340.233972579,-3648583.36969968,-3283905.962417564,-3335010.7685041553,-3113321.599060544,-3300007.394916934,257021.9166617588
0,254,0.017459678649902343,0.005985756730426713,0.001866316795349121,9.869322322927038e-05,1e-05,False,False,random,"{'model__alpha': 1e-05, 'model__fit_intercept': False, 'model__precompute': False, 'model__selection': 'random'}",-5910714.201296267,-4672525.965528531,-3665162.0919091217,-4712239.360883426,-6214127.082209384,-4451866.249714625,-3312699.671360857,-5311691.2559915455,-2360850.185607302,-5158859.069934222,-4577073.513443528,1127901.0089826067,39,-2922746.891228965,-3446597.063476093,-2816721.6329007475,-3554763.9709832803,-3414000.0615944266,-3462246.622602193,-3647524.1608317974,-3283293.7246129797,-3334396.1301935255,-3112545.5097223986,-3299483.5768146403,256703.13661338045
0,254,0.023171114921569824,0.03090060613947479,0.0030902862548828126,0.0038132244935746244,0.0001,True,True,cyclic,"{'model__alpha': 0.0001, 'model__fit_intercept': True, 'model__precompute': True, 'model__selection': 'cyclic'}",-5910593.205382297,-4665649.913527917,-3665864.3145906837,-4710386.076860129,-6214580.776744973,-4451683.45107958,-3318190.269046447,-5311901.553117032,-2357981.0309800934,-5171105.579789861,-4577793.617111902,1128421.3452065839,69,-2922750.3748030732,-3448495.4023881336,-2816367.0178330657,-3555461.997856805,-3414063.381801546,-3462349.52374913,-3648668.0349943805,-3283951.5301273945,-3335018.532938958,-3113369.6218301714,-3300049.541832266,257056.76496312165
0,254,0.014232301712036132,0.012152370385192625,0.0040299415588378905,0.0038287143310925605,0.0001,True,True,random,"{'model__alpha': 0.0001, 'model__fit_intercept': True, 'model__precompute': True, 'model__selection': 'random'}",-5910633.29707972,-4676630.88527076,-3664889.1712308633,-4710545.195480822,-6213303.867483522,-4452553.761599005,-3313339.87497712,-5311804.038311191,-2358358.3256631973,-5169628.370161196,-4578168.67872574,1128787.015914993,82,-2922737.6011090665,-3445299.318557312,-2816607.9633399067,-3555438.5693119536,-3414065.718814927,-3461986.8089588066,-3647420.879083783,-3283897.0375482203,-3334935.1569032655,-3113382.9902486946,-3299577.204387594,256634.25462168187
0,254,0.018486976623535156,0.004548926312365217,0.0022360563278198244,0.0009183237899450813,0.0001,True,False,cyclic,"{'model__alpha': 0.0001, 'model__fit_intercept': True, 'model__precompute': False, 'model__selection': 'cyclic'}",-5910593.205382296,-4665649.9135279,-3665864.3145903214,-4710386.076860506,-6214580.776744974,-4451683.451079481,-3318190.269046451,-5311901.553116831,-2357981.0309801563,-5171105.579790065,-4577793.617111898,1128421.3452066036,68,-2922750.374803063,-3448495.4023881154,-2816367.01783307,-3555461.997856806,-3414063.3818015144,-3462349.523749185,-3648668.034994391,-3283951.530127332,-3335018.53293893,-3113369.6218302334,-3300049.541832264,257056.76496312037
0,254,0.035884761810302736,0.022473313643313376,0.0024245023727416993,0.001008166517414869,0.0001,True,False,random,"{'model__alpha': 0.0001, 'model__fit_intercept': True, 'model__precompute': False, 'model__selection': 'random'}",-5910370.396264311,-4674639.154409563,-3663040.395074934,-4710868.861598535,-6214043.676696738,-4452332.38736172,-3313095.8669899534,-5311505.93969159,-2358325.1455657533,-5169567.301063848,-4577778.912471695,1129013.1861287833,61,-2922887.777440371,-3445948.018797265,-2816745.8799289833,-3555400.8634276004,-3414043.707163772,-3462073.8342479006,-3647504.932463183,-3283868.373961086,-3334926.0185986515,-3113336.201413294,-3299673.5607442106,256638.76078806838
0,254,0.014055681228637696,0.011117769397324812,0.005155014991760254,0.007115959355729376,0.0001,False,True,cyclic,"{'model__alpha': 0.0001, 'model__fit_intercept': False, 'model__precompute': True, 'model__selection': 'cyclic'}",-5910488.790285403,-4665883.700780359,-3666331.39104887,-4710602.864946649,-6214259.479093531,-4451719.831203255,-3317975.7058288855,-5311875.329838176,-2358055.439736797,-5170571.423998228,-4577776.395676016,1128308.1725411667,53,-2922806.226189286,-3448388.2904608725,-2816347.0129662855,-3555299.07190046,-3414071.415370373,-3462340.233173771,-3648583.3683815473,-3283905.9650178966,-3335010.768507476,-3113321.597524821,-3300007.3949492793,257021.91673637496
0,254,0.011178040504455566,0.010953659451375258,0.008542108535766601,0.012747853166811533,0.0001,False,True,random,"{'model__alpha': 0.0001, 'model__fit_intercept': False, 'model__precompute': True, 'model__selection': 'random'}",-5910556.88647426,-4669705.861209609,-3663735.539338003,-4713024.325188004,-6214182.533422193,-4452123.096433928,-3310996.800288405,-5311608.949264277,-2359565.921460363,-5157367.014912222,-4576286.692799126,1128349.8089563441,31,-2922868.6533925533,-3447543.9807885457,-2816776.8685688856,-3554358.575494595,-3413933.766861553,-3462190.957284884,-3647242.151087655,-3283134.0081952927,-3334699.580434933,-3112289.8666821048,-3299503.8408791004,256668.11934095874
