iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__average,param_model__fit_intercept,param_model__learning_rate,param_model__loss,param_model__max_iter,param_model__penalty,param_model__shuffle,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,20,0.1421515464782715,0.06641595745543334,0.0046179771423339845,0.007608681147297088,1e-10,True,True,optimal,huber,15000,l1,True,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'huber', 'model__max_iter': 15000, 'model__penalty': 'l1', 'model__shuffle': True}",-1351592.2903070743,-2084120.8802431466,-801511.3791020107,-6621197.4832744375,-8342041.031491239,-1821059.7495626383,-68537.78786477214,-2906519.808793595,-2463871.325406214,-1111701.3187556444,-2757215.3054800774,2515863.2613561153,49,-3163049.765791691,-2198875.1394436955,-6344323.5324029215,-3125176.16084251,-4591757.467749884,-4968819.865252157,-1201204.635861368,-2939878.1473803157,-3795593.3798489813,-2375985.2352770353,-3470466.3329850556,1425719.3157855137
0,20,0.13667731285095214,0.0610403124231156,0.012709307670593261,0.030332925556402573,1e-10,True,True,optimal,huber,15000,l1,False,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'huber', 'model__max_iter': 15000, 'model__penalty': 'l1', 'model__shuffle': False}",-1925935.4252764238,-2084894.438106554,-801496.8778549316,-6622306.78799448,-8342412.357122965,-1821079.8654679977,-63983.955787281506,-3097861.151422232,-2463818.060289028,-1038910.8120952547,-2826269.973141715,2496759.6098055085,59,-2788708.8451593984,-2196990.3700450645,-6344363.339799726,-3125171.9507549037,-4591832.498139872,-4968933.498487521,-1196711.7485935795,-2803471.424386848,-3795591.3952033636,-2350945.6179728764,-3416272.0688543157,1446112.6274231763
0,20,0.10783278942108154,0.054515723998082126,0.0052749872207641605,0.009808443101226805,1e-10,True,True,optimal,huber,15000,l2,True,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'huber', 'model__max_iter': 15000, 'model__penalty': 'l2', 'model__shuffle': True}",-1324799.2018720289,-2094317.735066867,-799078.6301207358,-6609637.501879792,-8348052.80223413,-1820996.79350832,-63397.86531847203,-2921313.5674689356,-2461087.5210206024,-2261298.2114957515,-2870397.9829985634,2465558.2938382225,60,-3180212.620432844,-2172740.0783089967,-6349007.912838255,-3127402.3400794216,-4594695.075674947,-4973911.1861386495,-1196442.0124395783,-2929121.9700693656,-3797173.120916446,-2754814.363551362,-3507552.0680449866,1405903.7574151533
0,20,0.0999995231628418,0.05694275970127768,0.004623603820800781,0.007808166947727624,1e-10,True,True,optimal,huber,15000,l2,False,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'huber', 'model__max_iter': 15000, 'model__penalty': 'l2', 'model__shuffle': False}",-1621234.207381901,-2108202.0770015474,-799044.1972241944,-6610464.523092143,-8348648.509610135,-1821133.937011917,-64450.26455878001,-2977485.261943233,-2460856.1687952895,-974702.2103625927,-2778622.135698173,2511854.096490161,54,-2990647.145466705,-2131842.7227596096,-6349032.7755639665,-3127428.704007181,-4594831.709842032,-4973857.632101925,-1197332.6306175592,-2889031.879434025,-3797161.8465377223,-2329172.968955353,-3438034.001528608,1444102.0356424542
0,20,0.033896136283874514,0.034808636032894365,0.005970501899719238,0.010688349201495417,1e-10,True,True,invscaling,squared_error,1000,l1,True,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'invscaling', 'model__loss': 'squared_error', 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__shuffle': True}",-2872940.4983446053,-1809035.9813997224,-3447698.175961264,-17426947.932450645,-2310968.309573125,-2690733.7713984596,-1883152.0292839045,-4660756.93934296,-6719188.421459978,-307789.4296027981,-4412921.148881746,4641816.148070754,1406,-1161014.4135963637,-1133844.370930723,-1967399.571543856,-835602.395892593,-1210106.375384069,-1227273.7650984863,-608150.6358973293,-1138286.710923324,-1303260.3527373779,-938714.7283513093,-1152365.3320355432,337456.13553768507
0,20,0.01346285343170166,0.018287660439215397,0.0017209053039550781,0.00015369864094151548,1e-10,True,True,invscaling,squared_error,1000,l1,False,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'invscaling', 'model__loss': 'squared_error', 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__shuffle': False}",-2923533.0023236973,-1819932.9540509454,-3407994.2836134178,-17415339.89469277,-2299866.0924914964,-2701780.751653849,-1897120.4281445043,-4658290.287611088,-6719339.407209165,-292547.29176743515,-4413574.439355837,4637824.275708521,1419,-1167567.1133482198,-1134275.2235271689,-1961508.7110859305,-843372.007449553,-1220241.7930839013,-1223387.7750652405,-608730.3105416674,-1137265.7550997564,-1307692.6267483002,-940730.2904725149,-1154477.1606422253,335415.8650059469
0,20,0.019914627075195312,0.028713677292809343,0.0024263620376586913,0.0022163378839696627,1e-10,True,True,invscaling,squared_error,1000,l2,True,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'invscaling', 'model__loss': 'squared_error', 'model__max_iter': 1000, 'model__penalty': 'l2', 'model__shuffle': True}",-2888488.7804981465,-1813055.3607346516,-3452753.811237864,-17474662.595670644,-2287437.8217828944,-2693980.730593754,-1889970.875673199,-4639823.0286853155,-6713082.25570859,-316060.5669326,-4416931.582751766,4653796.859449545,1423,-1158782.962318156,-1132884.7717563298,-1960144.175658007,-836228.600143524,-1210133.896387759,-1224365.5475650502,-607205.7339725383,-1135479.6788176917,-1304010.5773703875,-934595.2653772424,-1150383.1209366687,336044.0318065016
0,20,0.010123944282531739,0.010807481748999086,0.002712583541870117,0.003159578879804,1e-10,True,True,invscaling,squared_error,1000,l2,False,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'invscaling', 'model__loss': 'squared_error', 'model__max_iter': 1000, 'model__penalty': 'l2', 'model__shuffle': False}",-2923533.0017695026,-1819932.954556441,-3407994.2832781374,-17415339.891355406,-2299866.094272889,-2701780.749926689,-1897120.4273598548,-4658290.288494953,-6719339.407088453,-292547.2922729477,-4413574.439037527,4637824.274748602,1416,-1167567.1141189216,-1134275.2238231257,-1961508.7122038603,-843372.0081075078,-1220241.793710756,-1223387.776171563,-608730.3107664227,-1137265.7554926777,-1307692.6275456797,-940730.2909157715,-1154477.1612856286,335415.86521973734
0,20,0.04536347389221192,0.017348388267117085,0.0022362232208251952,0.0006704814657358223,1e-10,True,True,invscaling,squared_error,5000,l1,True,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'invscaling', 'model__loss': 'squared_error', 'model__max_iter': 5000, 'model__penalty': 'l1', 'model__shuffle': True}",-3055763.2420586236,-747991.72586881,-4017846.4235289935,-18827287.39602126,-9262.490784397349,-3934460.68435454,-3350263.711768441,-2831392.037348571,-6287940.729910626,-231996.897576103,-4329420.533922037,5170892.913751427,1355,-375022.2458249661,-788649.1400584267,-819838.3792602028,-316216.4385023077,-432210.34726746165,-338374.7045608126,-264285.70564282796,-639456.2976247814,-515731.78072152846,-476265.0227207563,-496605.0062184071,184779.2711095954
0,20,0.05415751934051514,0.04675726108997219,0.00777437686920166,0.013471146223087739,1e-10,True,True,invscaling,squared_error,5000,l1,False,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'invscaling', 'model__loss': 'squared_error', 'model__max_iter': 5000, 'model__penalty': 'l1', 'model__shuffle': False}",-3068036.7831924865,-754587.9350539615,-4005852.5378485885,-18823899.6800927,-18539.54978825897,-3936104.3634261554,-3353656.600194104,-2840175.9546934282,-6285581.000410069,-237013.9082190534,-4332344.831291881,5167666.460109985,1371,-376920.88418311917,-788159.2487429659,-816802.9435513504,-315702.1860006453,-433603.3236549019,-337187.80535429646,-264429.2717735043,-641099.8836238128,-514744.6325529045,-477323.2375139259,-496597.3416951426,184241.40253904156
